"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C3";"CP_Radial_D5.0mm_P2.00mm";1;"1 uF";;;
2;"C4";"C_Disc_D7.5mm_W2.5mm_P5.00mm";1;"0.01 uF";;;
3;"D1, D2, D5, D6, D7, D8, D9, D10, D11, D12";"LED_D3.0mm";10;"LED";;;
4;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Socket";;;
5;"J2";"PinHeader_1x01_P2.54mm_Vertical";1;"Conn_01x01_Socket";;;
6;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1K";;;
7;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"470";;;
8;"RV1";"Potentiometer_Vishay_T93YA_Vertical";1;"50K";;;
9;"U1";"DIP-8_W7.62mm";1;"NE555P";;;
10;"U2";"N16";1;"4017";;;
